Database,GEM unit/phase ID,GEM location ID,Country/Area,Wiki URL,Plant name,Unit name,Plant name (other),Plant name (local),Owner,Owner GEM Entity ID,Parent,Parent GEM Entity ID,Capacity (MW),Status,Start year,Retired year,Planned retirement,Combustion technology,Coal type,Coal source,Conversion to (fuel),Conversion to (GEM unit ID),Alternate Fuel,Location,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Subregion,Region,Latitude,Longitude,Location accuracy,Permits,Permit Date,Permit Parsed,Captive,Captive industry use,Captive residential use,China Capacity Payment Recipient,CHP,Plant age (years),Capacity factor,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Annual CO2 (million tonnes / annum),Remaining plant lifetime (years),Lifetime CO2 (million tonnes)
July 2025,G100000107340,L100000103925,United States,https://www.gem.wiki/Nearman_Creek_power_station,Nearman Creek power station,Unit 1,,,City of Kansas City (Kansas) [100%],E100000002217 [100%],City of Kansas City (Kansas) [100.0%],E100000002217 [100.0%],261.0,operating,1981.0,,,subcritical,subbituminous,,,,,Kansas City,Wyandotte,,Kansas,Northern America,Americas,39.171067,-94.697189,exact,,,,,,,,,44,0.55,12617.9,96100,1.608838767069322,5,8.044193835346608
July 2025,G100000107342,L100000104040,United States,https://www.gem.wiki/Nebraska_City_Station,Nebraska City Station,Unit 2,,,Omaha Public Power District [100%],E100000002300 [100%],Omaha Public Power District [100.0%],E100000002300 [100.0%],738.0,operating,2009.0,,,subcritical,subbituminous,,,,,Nebraska City,Otoe,,Nebraska,Northern America,Americas,40.620706,-95.773386,exact,,,,,,,,,16,0.55,9572.2,96100,3.451064370740851,19,65.57022304407616
July 2025,G100000107352,L100000104286,United States,https://www.gem.wiki/Neil_Simpson_Power_Plants,Neil Simpson Power Plants,"Plant II, timepoint 1",,,Black Hills Power Inc [100%],E100000002544 [100%],Black Hills Corp [100.0%],E100000001157 [100.0%],90.0,operating,1995.0,,,subcritical/CCS,subbituminous with CCS,,fossil gas: natural gas,G100001017896,,Wyodak,Campbell,,Wyoming,Northern America,Americas,44.287911,-105.383969,exact,,,,,,,,no,30,0.55,19899.8,9610,0.08749357357111473,5,0.4374678678555737
July 2025,G100000107378,L100000104024,United States,https://www.gem.wiki/New_Madrid_Power_Plant,New Madrid Power Plant,Unit 1,,,Associated Electric Cooperative Inc [100%],E100000002178 [100%],Central Electric Power Cooperative Inc; KAMO Electric Cooperative Inc; M&A Electric Power Cooperative; N.W. Electric Power Cooperative Inc; Northeast Missouri Electric Power Cooperative Inc; Sho-Me Power Electric Cooperative,E100001001073; E100002000074; E100002000075; E100002000077; E100002000076; E100002000078,650.0,operating,1972.0,,,subcritical,subbituminous,,,,,New Madrid,New Madrid,,Missouri,Northern America,Americas,36.51475,-89.561761,exact,,,,,,,,,53,0.55,10877.5,96100,3.454040159185687,5,17.27020079592844
July 2025,G100000107384,L100000103870,United States,https://www.gem.wiki/Newton_power_station,Newton power station,Unit 1,,,Illinois Power Generating Co [100%],E100000003296 [100%],Vistra Corp [100.0%],E100000001322 [100.0%],617.4,operating,1977.0,,2027.0,subcritical,subbituminous,,,,,Newton,Jasper,,Illinois,Northern America,Americas,38.93645,-88.277008,exact,,,,,,,,,48,0.55,10877.5,96100,3.280806760432682,2,6.561613520865365
July 2025,G100000107513,L100000104041,United States,https://www.gem.wiki/North_Omaha_Station,North Omaha Station,"Unit 5, timepoint 1",,,Omaha Public Power District [100%],E100000002300 [100%],Omaha Public Power District [100.0%],E100000002300 [100.0%],217.6,operating,1968.0,,2026.0,subcritical,subbituminous,,fossil gas: natural gas,G100001017879,,Omaha,Douglas,,Nebraska,Northern America,Americas,41.329614,-95.946489,exact,,,,,,,,no,57,0.55,12617.9,96100,1.341315385878484,1,1.341315385878484
July 2025,G100000107517,L100000104045,United States,https://www.gem.wiki/North_Valmy_Station,North Valmy Station,"Unit 2, timepoint 1",,,Sierra Pacific Power Co [50%]; Idaho Power Co [50%],E100000004048 [50%]; E100000003294 [50%],Berkshire Hathaway Inc [50.0%]; IDACORP Inc [50.0%],E100000001155 [50.0%]; E100000001235 [50.0%],289.8,operating,1985.0,,2025.0,subcritical,bituminous,,fossil gas: natural gas,G100001028203,,Valmy,Humboldt,,Nevada,Northern America,Americas,40.881736,-117.152272,exact,,,,,,,,,40,0.55,12617.9,94600,1.758482882466253,1,1.758482882466253
July 2025,G100000107519,L100000104126,United States,https://www.gem.wiki/Northeastern_Station,Northeastern Station,"Unit 3, timepoint 1",,,Public Service Company of Oklahoma [100%],E100001000627 [100%],American Electric Power Company Inc [100.0%],E100000001140 [100.0%],473.0,operating,1979.0,,2026.0,supercritical,subbituminous,,fossil gas: natural gas,G100001055294,,Oologah,Rogers,,Oklahoma,Northern America,Americas,36.426261,-95.699428,exact,,,,,,,,,46,0.55,10511.25,96100,2.428848577592106,1,2.428848577592106
July 2025,G100000107524,L100000103830,United States,https://www.gem.wiki/Northside_Generating_Station,Northside Generating Station,Unit 2,,,JEA [100%],E100000001243 [100%],JEA [100.0%],E100000001243 [100.0%],297.5,operating,2002.0,,,subcritical,unknown,,,,,Jacksonville,Duval,,Florida,Northern America,Americas,30.419072,-81.554947,exact,,,,,,,,,23,0.55,12182.8,96100,1.770594124677956,12,21.24712949613547
July 2025,G100000107595,L100000104206,United States,https://www.gem.wiki/Oak_Grove_Plant,Oak Grove Plant,Unit 1,,,Luminant Generation Company LLC [100%],E100000003498 [100%],Vistra Corp [100.0%],E100000001322 [100.0%],916.8,operating,2010.0,,,supercritical,lignite,,,,,Franklin,Robertson,,Texas,Northern America,Americas,31.1812611,-96.4889611,exact,,,,,,,,,15,0.55,9249.900000000001,101000,4.354061534149616,20,87.08123068299231
